fruit,path,label
Guava,images/Guava/guava total final\Guava963.png,3
Tomatoes,images/Tomatoes\Tamotoes001084.png,13
Apple,images/Apple\Apple 01836.png,0
muskmelon,images/muskmelon\Muskmelon 00643.png,14
Kiwi,images/Kiwi/kiwi A\Kiwi A00850.png,4
Pear,images/Pear\pear_0_1718.png,8
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi001952.png,4
Persimmon,images/Persimmon\Persimmon1892.png,9
Pomegranate,images/Pomegranate\Pomegranet001948.png,12
muskmelon,images/muskmelon\Muskmelon 001706.png,14
Apple,images/Apple\Apple 03695.png,0
Kiwi,images/Kiwi/kiwi A\Kiwi A002155.png,4
Guava,images/Guava/guava total final\Guava03802.png,3
Pitaya,images/Pitaya\Pitaya0034.png,10
Orange,images/Orange\Orange00941.png,6
Pomegranate,images/Pomegranate\Pomegranet00512.png,12
Apple,images/Apple\Apple 0480.png,0
Banana,images/Banana\Banana01853.png,1
Pomegranate,images/Pomegranate\Pomegranet004.png,12
Pomegranate,images/Pomegranate\Pomegranet001629.png,12
Pomegranate,images/Pomegranate\Pomegranet00391.png,12
Peach,images/Peach\Peach00555.png,7
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi00935.png,4
Pitaya,images/Pitaya\Pitaya0027.png,10
muskmelon,images/muskmelon\Muskmelon 00379.png,14
Kiwi,images/Kiwi/kiwi A\Kiwi A00877.png,4
Kiwi,images/Kiwi/Kiwi C\Kiwi C00836.png,4
Pear,images/Pear\Pear 354.png,8
Carambola,images/Carambola\Carambola 00547.png,2
Guava,images/Guava/guava total final\Guava03813.png,3
Pear,images/Pear\pear_0_9861.png,8
Pomegranate,images/Pomegranate\Pomegranet00948.png,12
Plum,images/Plum\PlumÒÇé1956.png,11
Guava,images/Guava/guava total final\Guava01368.png,3
Pear,images/Pear\pear_0_1329.png,8
Apple,images/Apple\Apple 0614.png,0
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi002752.png,4
Pitaya,images/Pitaya\Pitaya001121.png,10
Mango,images/Mango\Mango001972.png,5
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi00704.png,4
Pear,images/Pear\Pear 921.png,8
Orange,images/Orange\Orange002245.png,6
Carambola,images/Carambola\Carambola 001249.png,2
Plum,images/Plum\PlumÒÇé284.png,11
Kiwi,images/Kiwi/Kiwi C\Kiwi C0032.png,4
Pear,images/Pear\Pear 963.png,8
Orange,images/Orange\Orange001165.png,6
muskmelon,images/muskmelon\Muskmelon 00104.png,14
muskmelon,images/muskmelon\Muskmelon 00183.png,14
Kiwi,images/Kiwi/kiwi A\Kiwi A00203.png,4
Persimmon,images/Persimmon\Persimmon1108.png,9
Carambola,images/Carambola\Carambola 00134.png,2
Pear,images/Pear\Pear 29.png,8
Carambola,images/Carambola\Carambola 00372.png,2
Guava,images/Guava/guava total final\cene01981.png,3
Banana,images/Banana\Banana01029.png,1
Banana,images/Banana\Banana01299.png,1
Pomegranate,images/Pomegranate\Pomegranet001036.png,12
Orange,images/Orange\Orange001187.png,6
Banana,images/Banana\Banana02928.png,1
Guava,images/Guava/guava total final\Guava0129.png,3
Apple,images/Apple\Apple 0801.png,0
Mango,images/Mango\Mango002137.png,5
Guava,images/Guava/guava total final\Guava700.png,3
Orange,images/Orange\Orange002347.png,6
Apple,images/Apple\Apple 01079.png,0
Guava,images/Guava/guava total final\Guava13.png,3
Kiwi,images/Kiwi/Kiwi C\Kiwi C00297.png,4
Pear,images/Pear\Pear 547.png,8
Kiwi,images/Kiwi/kiwi A\Kiwi A001502.png,4
Plum,images/Plum\PlumÒÇé1554.png,11
muskmelon,images/muskmelon\Muskmelon 00193.png,14
Plum,images/Plum\PlumÒÇé993.png,11
Guava,images/Guava/guava total final\Guava01218.png,3
Orange,images/Orange\Orange001467.png,6
Mango,images/Mango\Mango001887.png,5
Pomegranate,images/Pomegranate\Pomegranet001501.png,12
Pear,images/Pear\Pear 1259.png,8
Pitaya,images/Pitaya\Pitaya00949.png,10
Banana,images/Banana\Banana03007.png,1
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi001899.png,4
Guava,images/Guava/guava total final\ene01441.png,3
Apple,images/Apple\Apple 02343.png,0
muskmelon,images/muskmelon\Muskmelon 001123.png,14
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi00209.png,4
Pitaya,images/Pitaya\Pitaya002198.png,10
muskmelon,images/muskmelon\Muskmelon 00455.png,14
Plum,images/Plum\PlumÒÇé1961.png,11
Banana,images/Banana\Banana0963.png,1
Peach,images/Peach\Peach00592.png,7
Kiwi,images/Kiwi/kiwi A\Kiwi A001821.png,4
Guava,images/Guava/guava total final\Guava01741.png,3
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi00389.png,4
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi003837.png,4
Apple,images/Apple\Apple 03606.png,0
Carambola,images/Carambola\Carambola 001139.png,2
Peach,images/Peach\Peach00895.png,7
Guava,images/Guava/guava total final\Guava272.png,3
Apple,images/Apple\Apple 01825.png,0
Kiwi,images/Kiwi/Kiwi B\Kiwi B00889.png,4
muskmelon,images/muskmelon\Muskmelon 001069.png,14
Pear,images/Pear\Pear 483.png,8
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi004152.png,4
Persimmon,images/Persimmon\Persimmon222.png,9
Guava,images/Guava/guava total final\Guava1597.png,3
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi003078.png,4
Guava,images/Guava/guava total final\Guava02123.png,3
Guava,images/Guava/guava total final\ene08101.png,3
Peach,images/Peach\Peach001889.png,7
Persimmon,images/Persimmon\Persimmon1913.png,9
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi001235.png,4
muskmelon,images/muskmelon\Muskmelon 001160.png,14
Peach,images/Peach\Peach001633.png,7
Kiwi,images/Kiwi/Kiwi C\Kiwi C00707.png,4
muskmelon,images/muskmelon\Muskmelon 001894.png,14
Mango,images/Mango\Mango002044.png,5
Guava,images/Guava/guava total final\Guava02658.png,3
Orange,images/Orange\Orange001970.png,6
Tomatoes,images/Tomatoes\Tamotoes002143.png,13
Banana,images/Banana\Banana0767.png,1
Guava,images/Guava/guava total final\scene09181.png,3
Pitaya,images/Pitaya\Pitaya001571.png,10
Tomatoes,images/Tomatoes\Tamotoes00497.png,13
Tomatoes,images/Tomatoes\Tamotoes001098.png,13
Guava,images/Guava/guava total final\Guava0847.png,3
Guava,images/Guava/guava total final\Guava0259.png,3
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi004005.png,4
Pomegranate,images/Pomegranate\Pomegranet001944.png,12
Mango,images/Mango\Mango001389.png,5
Apple,images/Apple\Apple 0653.png,0
Pomegranate,images/Pomegranate\Pomegranet001759.png,12
Kiwi,images/Kiwi/kiwi A\Kiwi A001300.png,4
Banana,images/Banana\Banana02777.png,1
Plum,images/Plum\PlumÒÇé832.png,11
Peach,images/Peach\Peach00866.png,7
Guava,images/Guava/guava total final\Guava03658.png,3
Guava,images/Guava/guava total final\Guava01513.png,3
Apple,images/Apple\Apple 01677.png,0
Pomegranate,images/Pomegranate\Pomegranet001507.png,12
Apple,images/Apple\Apple 04712.png,0
Tomatoes,images/Tomatoes\Tamotoes001062.png,13
Mango,images/Mango\Mango002281.png,5
Kiwi,images/Kiwi/Kiwi B\Kiwi B00552.png,4
muskmelon,images/muskmelon\Muskmelon 0027.png,14
Kiwi,images/Kiwi/Kiwi C\Kiwi C00382.png,4
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi002778.png,4
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi003730.png,4
Banana,images/Banana\Banana02839.png,1
Peach,images/Peach\Peach002444.png,7
Persimmon,images/Persimmon\Persimmon165.png,9
Guava,images/Guava/guava total final\Guava02489.png,3
Apple,images/Apple\Apple 03818.png,0
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi001342.png,4
Pear,images/Pear\Pear 34.png,8
Persimmon,images/Persimmon\Persimmon1837.png,9
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi001086.png,4
Pear,images/Pear\Pear 1743.png,8
Kiwi,images/Kiwi/Kiwi C\Kiwi C00168.png,4
Guava,images/Guava/guava total final\Guava729.png,3
Pear,images/Pear\Pear 1294.png,8
Persimmon,images/Persimmon\Persimmon1114.png,9
Apple,images/Apple\Apple 04253.jpeg,0
muskmelon,images/muskmelon\Muskmelon 001754.png,14
Apple,images/Apple\Apple 04631.jpeg,0
Kiwi,images/Kiwi/kiwi A\Kiwi A001419.png,4
Persimmon,images/Persimmon\Persimmon1324.png,9
Pear,images/Pear\Pear 1088.png,8
Persimmon,images/Persimmon\Persimmon244.png,9
Mango,images/Mango\Mango002790.png,5
Orange,images/Orange\Orange0054.png,6
Plum,images/Plum\PlumÒÇé830.png,11
Plum,images/Plum\PlumÒÇé2217.png,11
muskmelon,images/muskmelon\Muskmelon 00911.png,14
Apple,images/Apple\Apple 02520.png,0
Orange,images/Orange\Orange00364.png,6
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi00216.png,4
muskmelon,images/muskmelon\Muskmelon 00106.png,14
Persimmon,images/Persimmon\Persimmon818.png,9
Mango,images/Mango\Mango003990.png,5
Banana,images/Banana\Banana02105.png,1
Pitaya,images/Pitaya\Pitaya00859.png,10
Peach,images/Peach\Peach00450.png,7
Carambola,images/Carambola\Carambola 001935.png,2
Banana,images/Banana\Banana02873.png,1
Pomegranate,images/Pomegranate\Pomegranet00643.png,12
Apple,images/Apple\Apple 02548.png,0
Mango,images/Mango\Mango00243.png,5
Carambola,images/Carambola\Carambola 001697.png,2
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi00985.png,4
Apple,images/Apple\Apple_0_4170.png,0
Kiwi,images/Kiwi/kiwi A\Kiwi A00388.png,4
Persimmon,images/Persimmon\Persimmon1428.png,9
Guava,images/Guava/guava total final\Guava229.png,3
Pear,images/Pear\Pear 292.png,8
Mango,images/Mango\Mango002792.png,5
Guava,images/Guava/guava total final\scene09641.png,3
Pear,images/Pear\Pear 1313.png,8
Pomegranate,images/Pomegranate\Pomegranet00691.png,12
Guava,images/Guava/guava total final\Guava02348.png,3
Pomegranate,images/Pomegranate\Pomegranet001902.png,12
Guava,images/Guava/guava total final\Guava0592.png,3
Peach,images/Peach\Peach0013.png,7
muskmelon,images/muskmelon\Muskmelon 00810.png,14
Guava,images/Guava/guava total final\Guava02350.png,3
Guava,images/Guava/guava total final\Guava01131.png,3
Peach,images/Peach\Peach001469.png,7
Banana,images/Banana\Banana01949.png,1
Guava,images/Guava/guava total final\Guava01397.png,3
Mango,images/Mango\Mango003188.png,5
Peach,images/Peach\Peach00350.png,7
Guava,images/Guava/guava total final\Guava02826.png,3
Orange,images/Orange\Orange00966.png,6
Tomatoes,images/Tomatoes\Tamotoes001861.png,13
Pomegranate,images/Pomegranate\Pomegranet00601.png,12
Kiwi,images/Kiwi/Kiwi B\Kiwi B00836.png,4
Pomegranate,images/Pomegranate\Pomegranet00928.png,12
Orange,images/Orange\Orange002368.png,6
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi003273.png,4
Banana,images/Banana\Banana01083.png,1
Guava,images/Guava/guava total final\scene04321.png,3
Carambola,images/Carambola\Carambola 00493.png,2
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi004012.png,4
muskmelon,images/muskmelon\Muskmelon 00990.png,14
Carambola,images/Carambola\Carambola 001733.png,2
Orange,images/Orange\Orange00149.png,6
Persimmon,images/Persimmon\Persimmon1949.png,9
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi001364.png,4
Pitaya,images/Pitaya\Pitaya00855.png,10
Pomegranate,images/Pomegranate\Pomegranet001724.png,12
muskmelon,images/muskmelon\Muskmelon 00830.png,14
Apple,images/Apple\Apple 03130.png,0
Peach,images/Peach\Peach002391.png,7
Mango,images/Mango\Mango0052.png,5
Apple,images/Apple\Apple 02442.png,0
Guava,images/Guava/guava total final\Guava02256.png,3
Guava,images/Guava/guava total final\Guava0348.png,3
Banana,images/Banana\Banana0996.png,1
Banana,images/Banana\Banana02467.png,1
Plum,images/Plum\PlumÒÇé2165.png,11
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi003604.png,4
Carambola,images/Carambola\Carambola 00120.png,2
Banana,images/Banana\Banana01743.png,1
Pear,images/Pear\pear_0_8508.png,8
Mango,images/Mango\Mango001209.png,5
Banana,images/Banana\Banana0618.png,1
Guava,images/Guava/guava total final\Guava02105.png,3
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi001982.png,4
Apple,images/Apple\Apple 04218.jpeg,0
Carambola,images/Carambola\Carambola 001888.png,2
Kiwi,images/Kiwi/kiwi A\Kiwi A00910.png,4
Apple,images/Apple\Apple 04306.jpeg,0
Apple,images/Apple\Apple 01699.png,0
Apple,images/Apple\Apple 04043.png,0
Banana,images/Banana\Banana02222.png,1
Pear,images/Pear\Pear 760.png,8
Banana,images/Banana\Banana0727.png,1
Orange,images/Orange\Orange001599.png,6
Apple,images/Apple\Apple 01380.png,0
Guava,images/Guava/guava total final\Guava0536.png,3
Guava,images/Guava/guava total final\Guava01612.png,3
Mango,images/Mango\Mango003541.png,5
Mango,images/Mango\Mango002116.png,5
Pear,images/Pear\Pear 351.png,8
Mango,images/Mango\Mango00332.png,5
Kiwi,images/Kiwi/kiwi A\Kiwi A002062.png,4
Mango,images/Mango\Mango00794.png,5
Orange,images/Orange\Orange002764.png,6
Kiwi,images/Kiwi/kiwi A\Kiwi A001778.png,4
Banana,images/Banana\Banana01878.png,1
Pitaya,images/Pitaya\Pitaya001223.png,10
Orange,images/Orange\Orange002379.png,6
Banana,images/Banana\Banana02774.png,1
Apple,images/Apple\Apple 0557.png,0
Pitaya,images/Pitaya\Pitaya00896.png,10
Banana,images/Banana\Banana0133.png,1
Mango,images/Mango\Mango002223.png,5
Mango,images/Mango\Mango003673.png,5
Guava,images/Guava/guava total final\Guava03780.png,3
